"","true_like","ml_like","ml_X1","ml_X2","ml_X3","ml_X4","true_X1","true_X2","true_X3","true_X4","M","N","z","run","seed","p","nbio","nevents"
"sub.13116",-445.336665762715,-445.336665762715,1,1,1,2,1,1,1,2,250,4,14,17,1725095414,0.95,2,2
"sub.14113",-515.483886332163,-515.483886332163,3,4,1,2,3,4,1,2,250,4,15,17,1725095415,0.95,2,2
"sub.15113",-482.152673875615,-482.152673875615,2,3,1,2,2,3,1,2,250,4,16,17,1725095416,0.95,2,2
"sub.16113",-472.891313083421,-472.891313083421,3,2,2,1,3,2,2,1,250,4,17,17,1725095417,0.95,2,2
"sub.17113",-487.207841916948,-487.207841916948,1,3,3,2,1,3,3,2,250,4,18,17,1725095418,0.95,2,2
"sub.18113",-483.964363227837,-483.964363227837,2,1,1,3,2,1,1,3,250,4,19,17,1725095419,0.95,2,2
"sub.19113",-447.51020474735,-447.51020474735,1,1,1,2,1,1,1,2,250,4,20,17,1725095420,0.95,2,2
"sub114",-466.625823512217,-466.625823512217,2,3,1,3,2,3,1,3,250,4,1,18,182509541,0.95,4,1
"sub.1506",-419.459781034155,-419.459781034155,2,2,1,2,2,2,1,2,250,4,2,18,182509542,0.95,4,1
"sub.2114",-537.776400720064,-537.776400720064,4,1,2,3,4,1,2,3,250,4,3,18,182509543,0.95,4,1
"sub.3114",-378.424365301322,-378.424365301322,1,1,1,1,1,1,1,1,250,4,4,18,182509544,0.95,4,1
"sub.4114",-497.539198187961,-497.539198187961,1,2,4,3,1,2,4,3,250,4,5,18,182509545,0.95,4,1
"sub.5114",-467.156082244201,-467.156082244201,2,3,1,3,2,3,1,3,250,4,6,18,182509546,0.95,4,1
"sub.6114",-377.049120607511,-377.049120607511,1,1,1,1,1,1,1,1,250,4,7,18,182509547,0.95,4,1
"sub.7114",-509.012934489522,-509.012934489522,2,3,4,1,2,3,4,1,250,4,8,18,182509548,0.95,4,1
"sub.8114",-359.2078472021,-359.2078472021,1,1,1,1,1,1,1,1,250,4,9,18,182509549,0.95,4,1
"sub.9114",-489.255768803219,-489.255768803219,1,2,2,3,1,2,2,3,250,4,10,18,1825095410,0.95,4,1
"sub.10114",-452.085610732473,-452.085610732473,1,3,2,3,1,3,2,3,250,4,11,18,1825095411,0.95,4,1
"sub.11153",-350.573997016471,-350.573997016471,1,1,1,1,1,1,1,1,250,4,12,18,1825095412,0.95,4,1
"sub.12130",-490.529944171929,-490.529944171929,1,4,2,3,1,4,2,3,250,4,13,18,1825095413,0.95,4,1
"sub.13117",-388.815842203529,-388.815842203529,1,1,1,1,1,1,1,1,250,4,14,18,1825095414,0.95,4,1
